Name,Phone,Email,Website,Address,Rating,Category
Manhattan Laser - Med Aesthetics Clinic | Medspa,+1 917-261-7087,contact@manhattan-laser.com,https://manhattan-laser.com/,"808 Lexington Ave, New York, NY 10065, United States",4.6,4.6
Clinique des Champs Élysées,+1 212-812-1107,contact@champs-elysees-clinic.com,https://newyork.crpce.com/,"5 E 57th St Floor 12, New York, NY 10022, United States",4.9,4.9
Perfect Med Spa,+1 212-901-0656,info@perfectmedspa.com,https://www.perfectmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Perfect-Med-Spa&utm_content=website,"109 E 36th St, New York, NY 10016, United States",4.8,4.8
Skinova Medspa,+1 212-339-3993,contact@skinovamedspa.com,http://www.skinovamedspa.com/,"12 E 44th St 8th Fl, New York, NY 10087, United States",4.8,4.8
Diamond Advanced Aesthetics,+1 212-933-0434,info@diamondadvancedaesthetics.com,https://diamondadvancedaesthetics.com/,"161 Madison Ave #2w, New York, NY 10016, United States",5.0,5.0
SkinSpirit New York - UES,+1 212-838-4800,east89th@skinspirit.com,https://www.skinspirit.com/locations/nyc-east89/,"160 E 89th St, New York, NY 10128, United States",4.9,4.9(316)
Skinly Aesthetics,+1 212-774-4264,info@skinlyaesthetics.com,https://skinlyaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Skinly-Aesthetics&utm_content=website,"157 E 64th St 2nd floor, New York, NY 10065, United States",4.6,4.6(444)
UPKEEP MED SPA,+1 833-875-3377,info@upkeepmedspa.com,http://www.upkeepmedspa.com/,"330 E 76th St, New York, NY 10021, United States",4.7,4.7(917)
Altman Aesthetic Center Med Spa - Manhattan,+1 212-772-3220,manhattan@altmanspa.com,https://altmanaestheticscenter.com/manhattan/?utm_source=google&utm_medium=organic&utm_campaign=gmb-manhattan,"853 5th Ave, New York, NY 10065, United States",5.0,5.0(27)
KUR Skin Lab,+1 212-951-0488,info@kurskinlab.com,https://kurskinlab.com/,"875 3rd Ave M-101, New York, NY 10022, United States",4.8,4.8(627)
Radiant Beauty & Health Manhattan,+1 914-589-6288,info@radiantbeautyandhealth.com,https://radiantbeautyandhealth.com/,"115 E 57th St Ste 1450 Floor 14, New York, NY 10022, United States",4.8,4.8(479)
IN•GLO Face and Body Sculpting,+1 212-647-8919,info@inglomedspa.com,https://inglomedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"115 W 27th St #1001, New York, NY 10001, United States",4.9,4.9(75)
LM Medical Spa,+1 212-901-0700,advanced.medical.gc@gmail.com,http://lmmedspanyc.com/,"22 E 41st St 4th Floor, New York, NY 10017, United States",5.0,5.0(37)
