Name,Phone,Email,Website,Address,Rating,Category
Clinique des Champs Élysées,+1 212-812-1107,contact@champs-elysees-clinic.com,https://newyork.crpce.com/,"5 E 57th St Floor 12, New York, NY 10022, United States",4.9,4.9
BeRejuved Medical Spa & Wellness Studio - NYC,+1 646-992-2122,,https://www.berejuved.com/,"363 7th Ave Ste 11R, New York, NY 10001, United States",4.9,4.9
Tribeca Medspa,+1 212-925-9500,,https://www.tribecamedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Tribeca-Medspa&utm_content=website,"114 Hudson St, New York, NY 10013, United States",4.7,4.7
Manhattan Medspa,+1 212-729-5797,,https://www.manhattan-medspa.com/,"220 Madison Ave Penthouse C, New York, NY 10016, United States",4.5,4.5
ZZ Med Spa,+1 917-905-4928,,https://zzmedspa.com/,"120 E 56th St 2nd Floor, New York, NY 10022, United States",5.0,5.0
Trifecta Med Spa Downtown,+1 212-600-4112,,https://trifectamedspanyc.com/location/downtown/,"115 Broadway #1305, New York, NY 10006, United States",4.8,4.8
Perfect Med Spa,+1 212-901-0656,info@perfectmedspa.com,https://www.perfectmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Perfect-Med-Spa&utm_content=website,"109 E 36th St, New York, NY 10016, United States",4.8,4.8
Revival Med Spa,+1 347-542-5895,info@revivalmedicalspa.com,https://revivalmedicalspa.com/,"24 E 36th St, New York, NY 10016, United States",4.9,4.9
SKINNEY Medspa,+1 646-212-2316,,https://skinneymedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-flagship-nyc,"125 5th Ave Floor 2, New York, NY 10003, United States",4.7,4.7
Anand Medical Spa,+1 646-653-9693,,https://anandmedicalspa.com/,"635 Madison Ave, New York, NY 10022, United States",4.7,4.7
Skin Deep NYC,+1 646-692-3330,,https://www.skindeepnyc.com/,"39 W 56th St, New York, NY 10019, United States",4.9,4.9
Glowme Med Spa,+1 201-706-1138,glowmemedspa@gmail.com,https://www.glowmemedspa.com/,"224 W 35th St Suite 700, New York, NY 10001, United States",4.9,4.9
Central Park West Med Spa,+1 917-696-9085,,https://centralparkwestmedspa.com/,"2 W 67th St, New York, NY 10023, United States",5.0,5.0
Skinova Medspa,+1 212-339-3993,contact@skinovamedspa.com,http://www.skinovamedspa.com/,"12 E 44th St 8th Fl, New York, NY 10087, United States",4.8,4.8
Bel Angé Medical Spa,+1 855-594-4300,,https://www.belangemedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"70 Laight St, New York, NY 10013, United States",4.9,4.9(71)
Skin Center New York,+1 212-257-0222,,https://www.skincenter.nyc/,"37 W 26th St RM 400, New York, NY 10010, United States",4.9,4.9(211)
Koru Wellness Aesthetics NYC: Med Spa Upper East Side & Midtown,+1 212-396-3672,,http://www.korunyc.com/,"341 E 78th St Ground Floor, New York, NY 10075, United States",4.9,4.9
Ease Spa Wellness,+1 212-625-8966,,http://www.easespawellness.com/,"133 E 54th St #203, New York, NY 10022, United States",4.7,4.7(212)
Skin City Lab,+1 646-761-3610,,http://www.skincitylab.com/,"21 W 39th St Suite 4B, New York, NY 10018, United States",4.9,4.9
Slim Herbal Med Spa,+1 646-683-9203,,https://www.slim-herbal.com/,"383 5th Ave 2nd Fl, New York, NY 10016, United States",4.8,4.8
Spa Catalina NYC,+1 212-371-0492,,http://www.spacatalinaonline.com/,"767 Lexington Ave Suite 303, New York, NY 10065, United States",4.8,4.8(16)
Eden Med Spa,+1 212-226-0515,,http://www.edenmedspanyc.com/,"388 Broadway #1, New York, NY 10013, United States",4.4,4.4(271)
Anso Med Spa by Ann+Sofia,+1 917-900-8600,,https://linktr.ee/anso_medspa,"315 5th Ave #1004, New York, NY 10016, United States",4.8,4.8(456)
Radiant Beauty & Health Manhattan,+1 914-589-6288,info@radiantbeautyandhealth.com,https://radiantbeautyandhealth.com/,"115 E 57th St Ste 1450 Floor 14, New York, NY 10022, United States",4.8,4.8(476)
UPKEEP Med Spa,+1 917-715-4436,,https://www.upkeepmedspa.com/,"224 W 18th St, New York, NY 10011, United States",4.8,4.8(75)
